time,Building 1,Building 2,Building 3,Building 4,Building 5,Building 6,Building 7,Building 8,Building 9,Building 10,Building 11,Building 12,Building 13,Building 14,Building 15,Building 16,Building 17,Building 18,Building 19,Building 20,Building 21,Building 22,Building 23,Building 24,Building 25,Building 26,Building 27,Building 28,Total,costData,Emissions,,GHI,Solar_Power,,,,Solar_Power_2,,"Solar Power (kW, 22 Panel)",
499,4.183374597,7.710317986,3.138436259,2.964435213,3.694834509,3.174253785,2.628092265,3.238294907,3.817636172,4.165926021,2.784450176,2.792725918,2.818660817,2.892305288,2.887234478,4.435533857,3.952077006,3.624594651,3.316356294,2.798991941,3.829149591,3.214303995,4.231008008,3.752225944,3.037475061,3.840900999,3.246492872,2.970345669,99.14043428,0.10388,0.620249,0.800947832,0,0,4.183374597,4.183374597,0.434568953,0,,0,
500,3.976428816,4.757508826,3.549579514,3.050379358,3.441405902,3.090491527,3.238820076,3.462089851,6.962622161,3.363111006,2.611617379,2.897640346,2.626921183,2.674761918,3.096170738,4.713696294,3.637473121,3.715873012,2.865134197,4.067550205,3.473195296,3.502258177,3.89013296,3.531558614,3.103504957,3.621688296,3.251286244,2.983987886,99.15688786,0.10388,0.634537,0.494210017,0,0,3.976428816,3.976428816,0.413071425,0,,0,
501,6.023536573,3.712232128,3.130783946,3.595349584,2.917331858,3.164957068,3.684719885,3.52375592,5.885465489,2.889803175,2.807121024,2.641781847,3.107504325,3.191773261,3.102248951,4.351548022,3.086336713,4.260267282,3.079695926,3.432007528,3.539023776,3.021420862,2.945496947,3.347580051,2.990347731,3.312112429,2.727343195,2.851051502,96.322597,0.10388,0.61972,0.385626673,0,0,6.023536573,6.023536573,0.625724979,0,,0,
502,4.188091898,4.11899145,3.610251889,3.202167486,2.935800925,3.56502119,3.429238656,4.581388725,3.530163897,2.925617761,2.615052374,2.738841869,3.214477414,3.68164026,3.151738627,3.630545072,3.077542245,4.267586821,3.176164745,2.937316316,3.767956264,3.417829288,3.030845305,3.411536712,2.8092969,2.990532921,2.95080683,2.871938703,93.82838255,0.10388,0.593563,0.427880832,0,0,4.188091898,4.188091898,0.435058986,0,,0,
503,4.115248202,4.532718426,4.011061926,3.067074509,2.937285936,3.586644936,3.058938814,5.721937088,3.054510037,3.374683907,2.002306621,3.205245775,2.610546471,3.331122382,2.859650093,3.934304332,3.056715924,4.125740578,2.593158778,2.618670713,8.031524756,3.352520802,2.93481462,3.863500267,2.63656581,3.408330482,3.449678685,2.823765174,98.29826605,0.10388,0.572811,0.47085879,0,0,4.115248202,4.115248202,0.427491983,0,,0,
504,3.502759096,4.106865431,3.521550421,3.445781929,3.010071191,3.311512606,3.515031861,3.978706123,3.692562915,3.384233388,2.627660594,2.79520535,2.777524823,3.095032955,2.586736385,4.048703674,3.180646502,4.682333788,2.515467549,2.696599995,3.403387406,2.994261692,3.304121002,3.428013123,2.59911717,3.210776794,3.06295844,2.656589996,91.1342122,0.10388,0.578708,0.426621181,0,0,3.502759096,3.502759096,0.363866615,0,,0,
505,3.439684177,3.96002178,3.391877349,3.132737776,3.433038583,3.462301341,3.390241582,3.016943741,3.379856994,2.981292117,2.663015913,2.667997681,2.788611583,3.051780608,2.506071394,3.675910971,3.623732372,3.938031036,2.526891374,2.714657914,3.102630997,2.935639973,3.02924973,3.218939275,2.569747711,2.948716325,2.870198913,2.645769265,87.06558847,0.10388,0.577158,0.411367063,0,0,3.439684177,3.439684177,0.357314392,0,,0,
506,3.431538592,3.860689581,3.312828957,2.951919044,3.300658274,3.450397296,3.224970546,3.269008128,3.244287943,3.307631198,2.404043306,2.584834365,2.945245435,3.029207026,2.474472849,3.976278564,3.353071406,4.080152825,2.493086706,2.926783719,2.699957279,2.893664,2.802301842,3.142252794,2.5333555,3.13238638,2.821185298,2.923949964,86.57015882,0.10388,0.574928,0.401048434,0,0,3.431538592,3.431538592,0.356468229,0,,0,
507,3.423511314,3.825735418,3.302524547,2.913619161,3.280985926,3.431103431,3.269099751,3.27801257,3.301544277,4.021392799,2.369489038,2.57656429,2.929399914,3.014964802,2.463133072,3.96065421,3.32960915,4.262364251,2.475395031,2.925605836,2.614950397,2.881658998,2.763015116,3.124083664,2.517063752,3.12001421,2.812135859,2.562639067,86.75026985,0.10388,0.579728,0.397417395,0,0,3.423511314,3.423511314,0.355634355,0,,0,
508,3.321916271,4.118796579,3.206683756,2.834672441,3.167197394,3.329456754,3.185392659,3.184426197,3.218109924,3.197715514,2.296013566,2.500570427,2.846267821,2.927459346,2.771541382,3.845018555,3.212749569,4.826574734,2.392774856,2.842472204,2.547220436,2.798363993,2.686407199,3.031439327,2.442985358,3.014652729,2.733560241,2.486502902,84.96694213,0.10388,0.677024,0.427860589,0,0,3.321916271,3.321916271,0.345080662,0,,0,
509,3.728762912,3.905432453,3.211612594,2.835766044,3.184459003,3.49271178,3.187145495,3.187443022,3.219363685,3.197757486,2.302888044,2.516817118,2.849292779,2.930237961,2.397169266,3.850011563,3.609470259,4.844830711,2.39407772,2.845375779,2.556212353,2.800813553,2.720724743,3.017656229,2.443565365,3.346143977,2.749412055,2.473967017,85.79912097,0.10388,0.705298,0.405696323,0,0,3.728762912,3.728762912,0.387343891,0,,0,
510,3.824584946,4.000406609,3.281039357,2.918273396,3.599367497,4.175016156,3.259944318,3.659006658,4.322722935,3.69067252,2.355376602,2.575007411,3.334856998,3.36740836,2.798548979,3.933791512,3.302909092,4.621315915,2.857305816,2.90915261,2.635208099,2.857906062,3.607635318,3.108426579,2.791087289,3.084515148,3.400565593,2.533496033,92.80554781,0.10388,0.688212,0.415562239,0,0,3.824584946,3.824584946,0.397297884,0,,0,
